CustomerID,Gender,Age,AnnualIncome_k$,SpendingScore,Cluster
91,Male,57,61.0,39,0
92,Female,63,74.8,66,0
93,Female,41,80.0,41,0
94,Female,67,23.5,64,0
95,Female,49,55.3,43,0
96,Female,64,94.3,38,0
97,Female,39,71.1,78,1
98,Male,40,84.2,62,0
99,Male,19,17.2,88,1
100,Male,44,82.5,23,0
101,Male,59,68.7,4,0
102,Female,19,75.1,53,1
103,Male,43,107.2,34,0
104,Female,34,86.2,32,0
105,Female,57,77.9,31,0
106,Male,50,68.4,35,0
107,Male,26,19.5,78,1
108,Female,60,50.9,51,0
109,Male,65,55.8,34,0
110,Male,56,90.3,71,0
111,Male,46,74.1,31,0
112,Male,59,53.3,23,0
113,Female,43,62.5,45,0
114,Female,52,95.4,32,0
115,Female,67,37.9,36,0
116,Female,42,78.6,51,0
117,Female,41,91.0,51,0
118,Male,30,90.4,34,0
119,Female,24,66.7,74,1
120,Female,53,67.2,23,0
121,Female,62,68.5,45,0
122,Female,37,51.6,17,0
123,Male,18,44.4,63,1
124,Male,25,43.9,51,1
125,Male,63,31.9,38,0
126,Male,33,68.0,8,0
127,Female,31,101.9,24,0
128,Female,29,78.6,61,1
129,Male,68,67.2,60,0
130,Female,40,104.6,90,1
131,Male,32,44.5,27,0
132,Male,45,64.1,48,0
133,Male,51,59.8,10,0
134,Male,19,47.4,67,1
135,Female,49,56.3,1,0
136,Male,40,90.9,53,0
137,Female,39,110.9,49,0
138,Female,68,70.2,47,0
139,Male,42,40.1,100,1
140,Female,39,66.4,60,1
141,Female,39,87.8,34,0
142,Male,66,93.2,39,0
143,Female,69,56.2,37,0
144,Male,59,73.8,35,0
145,Male,23,53.2,45,1
146,Male,32,60.0,7,0
147,Female,60,95.9,65,0
148,Female,54,71.3,20,0
149,Male,50,103.0,26,0
150,Male,25,36.8,72,1
151,Female,61,68.1,45,0
152,Male,61,72.3,33,0
153,Male,22,50.0,67,1
154,Female,56,70.4,42,0
155,Female,21,51.4,80,1
156,Male,23,33.4,77,1
157,Female,62,71.8,16,0
158,Female,49,55.1,44,0
159,Male,69,90.8,47,0
160,Female,47,91.9,29,0
161,Male,64,64.5,47,0
162,Female,52,18.1,58,1
163,Female,57,26.5,50,0
164,Female,69,72.4,1,0
165,Male,33,29.2,79,1
166,Female,30,99.3,32,0
167,Male,67,44.1,43,0
168,Male,59,59.8,51,0
169,Male,47,68.6,59,0
170,Female,36,94.4,64,0
171,Female,34,68.0,41,0
172,Male,36,74.0,87,1
173,Female,45,52.7,39,0
174,Male,43,30.1,64,1
175,Female,54,100.6,21,0
176,Male,43,138.5,54,0
177,Female,40,23.5,42,1
178,Male,26,60.0,100,1
179,Female,29,50.8,94,1
180,Male,18,22.3,60,1
181,Male,18,15.0,61,1
182,Male,64,73.7,38,0
183,Female,51,75.6,21,0
184,Female,49,44.2,38,0
185,Male,65,49.2,55,0
186,Female,42,62.5,40,0
187,Female,57,67.5,29,0
188,Female,62,37.8,19,0
189,Female,18,48.1,50,1
190,Male,33,102.9,36,0
191,Male,56,71.1,26,0
192,Female,22,26.3,74,1
193,Female,39,96.0,45,0
194,Female,46,58.8,47,0
195,Male,20,52.6,69,1
196,Male,29,33.3,71,1
197,Female,43,71.2,56,0
198,Female,33,51.1,56,1
199,Female,68,47.1,49,0
200,Female,54,47.9,25,0
